amplicon_bp	region	chr13_bp	transcript_bp	protein_as
1	splicing	28608352	.	.
2	exon14	28608351	1705	569
3	exon14	28608350	1706	569
4	exon14	28608349	1707	569
5	exon14	28608348	1708	570
6	exon14	28608347	1709	570
7	exon14	28608346	1710	570
8	exon14	28608345	1711	571
9	exon14	28608344	1712	571
10	exon14	28608343	1713	571
11	exon14	28608342	1714	572
12	exon14	28608341	1715	572
13	exon14	28608340	1716	572
14	exon14	28608339	1717	573
15	exon14	28608338	1718	573
16	exon14	28608337	1719	573
17	exon14	28608336	1720	574
18	exon14	28608335	1721	574
19	exon14	28608334	1722	574
20	exon14	28608333	1723	575
21	exon14	28608332	1724	575
22	exon14	28608331	1725	575
23	exon14	28608330	1726	576
24	exon14	28608329	1727	576
25	exon14	28608328	1728	576
26	exon14	28608327	1729	577
27	exon14	28608326	1730	577
28	exon14	28608325	1731	577
29	exon14	28608324	1732	578
30	exon14	28608323	1733	578
31	exon14	28608322	1734	578
32	exon14	28608321	1735	579
33	exon14	28608320	1736	579
34	exon14	28608319	1737	579
35	exon14	28608318	1738	580
36	exon14	28608317	1739	580
37	exon14	28608316	1740	580
38	exon14	28608315	1741	581
39	exon14	28608314	1742	581
40	exon14	28608313	1743	581
41	exon14	28608312	1744	582
42	exon14	28608311	1745	582
43	exon14	28608310	1746	582
44	exon14	28608309	1747	583
45	exon14	28608308	1748	583
46	exon14	28608307	1749	583
47	exon14	28608306	1750	584
48	exon14	28608305	1751	584
49	exon14	28608304	1752	584
50	exon14	28608303	1753	585
51	exon14	28608302	1754	585
52	exon14	28608301	1755	585
53	exon14	28608300	1756	586
54	exon14	28608299	1757	586
55	exon14	28608298	1758	586
56	exon14	28608297	1759	587
57	exon14	28608296	1760	587
58	exon14	28608295	1761	587
59	exon14	28608294	1762	588
60	exon14	28608293	1763	588
61	exon14	28608292	1764	588
62	exon14	28608291	1765	589
63	exon14	28608290	1766	589
64	exon14	28608289	1767	589
65	exon14	28608288	1768	590
66	exon14	28608287	1769	590
67	exon14	28608286	1770	590
68	exon14_JMD	28608285	1771	591
69	exon14_JMD	28608284	1772	591
70	exon14_JMD	28608283	1773	591
71	exon14_JMD	28608282	1774	592
72	exon14_JMD	28608281	1775	592
73	exon14_JMD	28608280	1776	592
74	exon14_JMD	28608279	1777	593
75	exon14_JMD	28608278	1778	593
76	exon14_JMD	28608277	1779	593
77	exon14_JMD	28608276	1780	594
78	exon14_JMD	28608275	1781	594
79	exon14_JMD	28608274	1782	594
80	exon14_JMD	28608273	1783	595
81	exon14_JMD	28608272	1784	595
82	exon14_JMD	28608271	1785	595
83	exon14_JMD	28608270	1786	596
84	exon14_JMD	28608269	1787	596
85	exon14_JMD	28608268	1788	596
86	exon14_JMD	28608267	1789	597
87	exon14_JMD	28608266	1790	597
88	exon14_JMD	28608265	1791	597
89	exon14	28608264	1792	598
90	exon14	28608263	1793	598
91	exon14	28608262	1794	598
92	exon14	28608261	1795	599
93	exon14	28608260	1796	599
94	exon14	28608259	1797	599
95	exon14	28608258	1798	600
96	exon14	28608257	1799	600
97	exon14	28608256	1800	600
98	exon14	28608255	1801	601
99	exon14	28608254	1802	601
100	exon14	28608253	1803	601
101	exon14	28608252	1804	602
102	exon14	28608251	1805	602
103	exon14	28608250	1806	602
104	exon14	28608249	1807	603
105	exon14	28608248	1808	603
106	exon14	28608247	1809	603
107	exon14	28608246	1810	604
108	exon14	28608245	1811	604
109	exon14	28608244	1812	604
110	exon14	28608243	1813	605
111	exon14	28608242	1814	605
112	exon14	28608241	1815	605
113	exon14	28608240	1816	606
114	exon14	28608239	1817	606
115	exon14	28608238	1818	606
116	exon14	28608237	1819	607
117	exon14	28608236	1820	607
118	exon14	28608235	1821	607
119	exon14	28608234	1822	608
120	exon14	28608233	1823	608
121	exon14	28608232	1824	608
122	exon14	28608231	1825	609
123	exon14	28608230	1826	609
124	exon14	28608229	1827	609
125	exon14_TKD	28608228	1828	610
126	exon14_TKD	28608227	1829	610
127	exon14_TKD	28608226	1830	610
128	exon14_TKD	28608225	1831	611
129	exon14_TKD	28608224	1832	611
130	exon14_TKD	28608223	1833	611
131	exon14_TKD	28608222	1834	612
132	exon14_TKD	28608221	1835	612
133	exon14_TKD	28608220	1836	612
134	exon14_TKD	28608219	1837	613
